Pierre Francois Leonard Fontaine	French_people
Ange-Jacques Gabriel	French_people
Charles Garnier (architect)	French_people
Tony Garnier (architect)	French_people
Hector Guimard	French_people
Villard de Honnecourt	French_people
Pierre Jeanneret	French_people
Henri Labrouste	French_people
Claude Nicolas Ledoux	French_people
Pierre Lescot	French_people
Andre Lurcat	French_people
Robert Mallet-Stevens	French_people
Francois Mansart	French_people
Jules Hardouin Mansart	French_people
Louis Metezeau	French_people
Jean Nouvel	French_people
Charles Percier	French_people
Claude Perrault	French_people
Dominique Perrault	French_people
Auguste Perret	French_people
Christian de Portzamparc	French_people
Jean Prouve	French_people
Alain Provost	French_people
Henri Sauvage	French_people
Jacques-Germain Soufflot	French_people
Louis Le Vau	French_people
Eugene Viollet-le-Duc	French_people
Yann Arthus-Bertrand	French_people
Brassai	French_people
Henri Cartier-Bresson	French_people
Raymond Depardon	French_people
Robert Doisneau	French_people
Pierre Dubreuil	French_people
Jules Gervais-Courtellemont	French_people
Nadar (photographer)	French_people
Willy Ronis	French_people
Frederic Bartholdi	French_people
Antoine Bourdelle	French_people
Antonin Carles	French_people
Jean-Baptiste Carpeaux	French_people
Cesar Baldaccini	French_people
Antoine-Denis Chaudet	French_people
Camille Claudel	French_people
Paul Dubois (sculptor)	French_people
Raymond Duchamp-Villon	French_people
Alexandre Falguiere	French_people
Jean-Antoine Houdon	French_people
Rene Iche	French_people
Antonin Idrac	French_people
Antonin Mercie	French_people
Hippolyte Moulin	French_people
Emile Louis Picault	French_people
Jean-Baptiste Pigalle	French_people
Antoine-Augustin Preault	French_people
Auguste Rodin	French_people
Francois Rude	French_people
Niki de Saint Phalle	French_people
Sacha Sosno	French_people
Andre the Giant	French_people
World Figure Skating Championship	French_people
Tariq Abdul-Wahad	French_people
Luc Alphand	French_people
Jacques Anquetil	French_people
Fabien Barthez	French_people
Marion Bartoli	French_people
Super bantamweight	French_people
Sarah Abitbol	French_people
Alain Bernard	French_people
Cameroon	French_people
Venezuela	French_people
Jean Bloch	French_people
Louison Bobet	French_people
Surya Bonaly	French_people
Pierre Brunet (figure skater)	French_people
Alain Calmat	French_people
Philippe Candeloro	French_people
Eric Cantona	French_people
Georges Carpentier	French_people
Marcel Cerdan	French_people
Formula One	French_people
Eugene Christophe	French_people
Albert Clement	French_people
Robert Cohen (boxer)	French_people
Stephanie Cohen-Aloro	French_people
Eugene Criqui	French_people
Seattle Slew	French_people
Richard Dacoury	French_people
Pierre Darmon	French_people
Mathieu Debuchy	French_people
Emile Delahaye	French_people
Abou Diaby	French_people
Boris Diaw	French_people
Ghana	French_people
Judoka	French_people
Yves Dreyfus	French_people
Paul Duchesnay	French_people
Los Angeles Dodgers	French_people
Manchester United F.C.	French_people
Andre Fabre	French_people
Laurent Fignon	French_people
Jeremy Flores	French_people
Just Fontaine	French_people
Jacques Fouroux	French_people
Whitewater slalom	French_people
ICF Canoe Slalom World Championships	French_people
Pierre Galle	French_people
Camille du Gast	French_people
Lucien Gaudin	French_people
Yoann Gourcuff	French_people
Stephane Haccoun	French_people
Rudy Haddad	French_people
Alphonse Halimi	French_people
Marlene Harnois	French_people
Thierry Henry	French_people
Bernard Hinault	French_people
Cristobal Huet	French_people
Constant Huret	French_people
Olivier Jacque	French_people
Rene Jacquot	French_people
Laurent Jalabert	French_people
Formula One	French_people
Brian Joubert	French_people
Jean-Claude Killy	French_people
Raymond Kopa	French_people
Sophie Moniotte	French_people
Suzanne Lenglen	French_people
Alexander Levy	French_people
Alexandre Lippmann	French_people
Bixente Lizarazu	French_people
Sebastien Loeb	French_people
Jeannie Longo	French_people
Andre Mahe	French_people
Paris Saint-Germain F.C.	French_people
Laure Manaudou	French_people
Amelie Mauresmo	French_people
Jose Meiffret	French_people
Eric Millot	French_people
Alain Mimoun	French_people
Pascal Lavanchy	French_people
Carole Montillet	French_people
Armand Mouyal	French_people
Alfred Nakache	French_people
Claude Netter	French_people
Helle Nice	French_people
Chicago Bulls	French_people
Yannick Noah	French_people
Micheline Ostermeyer	French_people
Tony Parker	French_people
Gwendal Peizerat	French_people
Marie-Jose Perec	French_people
Mary Pierce	French_people
Dakar Rally	French_people
Julien Pillet	French_people
Michel Platini	French_people
Formula One	French_people
Antoine Rigaudeau	French_people
Francois Rozenthal	French_people
Maurice Rozenthal	French_people
Georges Stern	French_people
Jean Stern	French_people
Leon Thery	French_people
Marcel Thil	French_people
Fabrice Tiozzo	French_people
Christophe Tiozzo	French_people
David Trezeguet	French_people
Senegal	French_people
Morocco	French_people
Roger Walkowiak	French_people
Jean-Pierre Wimille	French_people
Zinedine Zidane	French_people
Marcel Achard	French_people
Alain-Fournier	French_people
Olivier Ameisen	French_people
Jean Anouilh	French_people
Guillaume Apollinaire	French_people
Louis Aragon	French_people
Antonin Artaud	French_people
Marcel Ayme	French_people
Literary realism	French_people
Henri Barbusse	French_people
Charles Baudelaire	French_people
Pierre Beaumarchais	French_people
Simone de Beauvoir	French_people
Cyrano de Bergerac (writer)	French_people
Georges Bernanos	French_people
Tristan Bernard	French_people
Maurice Blanchot	French_people
Antoine Blondin	French_people
Nicolas Boileau-Despreaux	French_people
Jacques-Benigne Bossuet	French_people
Pierre Boulle	French_people
Fernand Braudel	French_people
Andre Breton	French_people
Retif de la Bretonne	French_people
Jean Anthelme Brillat-Savarin	French_people
Michel Butor	French_people
Existentialist	French_people
Louis-Ferdinand Celine	French_people
Blaise Cendrars	French_people
Aime Cesaire	French_people
Nicolas Chamfort	French_people
Rene Char	French_people
Francois-Rene de Chateaubriand	French_people
Bruno Chikly	French_people
Pierre Choderlos de Laclos	French_people
Emil Cioran	French_people
Paul Claudel	French_people
Jean Cocteau	French_people
Colette	French_people
Benjamin Constant	French_people
Tristan Corbiere	French_people
Classicism	French_people
Marquis de Custine	French_people
Robert Desnos	French_people
Charles Dezobry	French_people
Denis Diderot	French_people
Alexandre Dumas, pere	French_people
Alexandre Dumas, fils	French_people
Marguerite Duras	French_people
Vanessa Duries	French_people
Paul Eluard	French_people
Frantz Fanon	French_people
Leon-Paul Fargue	French_people
Georges Feydeau	French_people
Marc Ferro	French_people
Amanda Filipacchi	French_people
Alain Finkielkraut	French_people
Literary realism	French_people
Anatole France	French_people
Marie de France	French_people
Romain Gary	French_people
Jean Genet	French_people
Nobel Prize	French_people
Jean Giono	French_people
Jean Giraudoux	French_people
Francoise Giroud	French_people
Julien Gracq	French_people
Julien Green	French_people
Pierre Guyotat	French_people
Jean-Edern Hallier	French_people
Auguste Himly	French_people
Victor Hugo	French_people
Joris-Karl Huysmans	French_people
Eugene Ionesco	French_people
Alain Jouffroy	French_people
Jean de La Bruyere	French_people
Jean de La Fontaine	French_people
Pierre Choderlos de Laclos	French_people
Comte de Lautreamont (Isidore Ducasse)	French_people
Parnassian	French_people
Alphonse de Lamartine	French_people
Jacques Lacan	French_people
Emmanuel Le Roy Ladurie	French_people
Paul Lafargue	French_people
Jules Laforgue	French_people
Valery Larbaud	French_people
Arsene Lupin	French_people
Le Fantome de l'Opera	French_people
Stephane Mallarme	French_people
Hector Malot	French_people
Andre Malraux	French_people
Matthieu Marais	French_people
French Resistance	French_people
Pierre de Marivaux	French_people
Clement Marot	French_people
Guy de Maupassant	French_people
Roman Catholic	French_people
Prosper Merimee	French_people
Catherine Millet	French_people
Patrick Modiano	French_people
Moliere	French_people
Alfred de Musset	French_people
Gerard de Nerval	French_people
Anais Nin	French_people
Marcel Pagnol	French_people
Charles Peguy	French_people
Charles Perrault	French_people
Georges Perec	French_people
Saint-John Perse	French_people
Roger Peyrefitte	French_people
Jean Piaget	French_people
Jean Piat	French_people
Christine de Pizan	French_people
Jacques Prevert	French_people
Abbe Prevost	French_people
Marcel Prevost	French_people
Marcel Proust	French_people
Raymond Queneau	French_people
Francois Rabelais	French_people
Raymond Radiguet	French_people
Classicism	French_people
Pauline Reage	French_people
Symbolism (arts)	French_people
Alain Robbe-Grillet	French_people
Pierre de Ronsard	French_people
Neo-romantic	French_people
Raymond Roussel	French_people
Maximilien Rubel	French_people
Marquis de Sade	French_people
Charles Augustin Sainte-Beuve	French_people
Feminist	French_people
Jean-Paul Sartre	French_people
Nathalie Sarraute	French_people
Pierre Seel	French_people
Victor Segalen	French_people
Madame de Sevigne	French_people
Germaine de Stael	French_people
Antoine de Saint-Exupery	French_people
Claude Simon	French_people
Stendhal	French_people
Alain Tasso	French_people
Francois Truffaut	French_people
Paul Valery	French_people
Jean Bruller	French_people
Symbolism (arts)	French_people
Jules Verne	French_people
Boris Vian	French_people
Alfred de Vigny	French_people
Auguste Villiers de l'Isle-Adam	French_people
Francois Villon	French_people
Voltaire	French_people
Marguerite Yourcenar	French_people
Natural history	French_people
Clement Ader	French_people
Jacqueline Auriol	French_people
Louis Bleriot	French_people
Henri Farman	French_people
Rene Fonck	French_people
French Open	French_people
Georges Guynemer	French_people
Raymonde de Laroche	French_people
Hubert Latham	French_people
Leon Lemartin	French_people
Marie Marvingt	French_people
Jean Mermoz	French_people
Robert brothers	French_people
Antoine de Saint-Exupery	French_people
Andre Turcat	French_people
Gabriel Voisin	French_people
Bernard Arnault	French_people
Liliane Bettencourt	French_people
Marcel Bich	French_people
Vincent Bollore	French_people
Marcel Boussac	French_people
Bugatti	French_people
Andre Citroen	French_people
Adolphe Clement-Bayard	French_people
Marcel Dassault	French_people
Alexandre Darracq	French_people
Claude Dauphin (businessman)	French_people
Louis Delage	French_people
Emile Delahaye	French_people
Gerard Louis-Dreyfus	French_people
DuPont	French_people
Pierre Samuel du Pont de Nemours	French_people
Jacques Foccart	French_people
Leon Gaumont	French_people
Paul-Louis Halley	French_people
Max Hymans	French_people
Jean-Marie Messier	French_people
Suez (company)	French_people
Gerard Mulliez	French_people
Iliad (company)	French_people
Charles Pathe	French_people
Armand Peugeot	French_people
Francois Pinault	French_people
American Revolution	French_people
Marcel Renault	French_people
James Mayer de Rothschild	French_people
Philippe de Rothschild	French_people
Eugene Schueller	French_people
Bernard Tapie	French_people
Raymond Blanc	French_people
Paul Bocuse	French_people
Daniel Boulud	French_people
Michel Bras	French_people
Pascal Caffet	French_people
Marie-Antoine Careme	French_people
Alain Ducasse	French_people
Adolphe Duglere	French_people
Auguste Escoffier	French_people
Pierre Gagnaire	French_people
Michel Guerard	French_people
Victor Hirtzler	French_people
Ludovic Lefebvre	French_people
Jacques Pepin	French_people
Georges Perrier	French_people
Fernand Point	French_people
Charles Ranhofer	French_people
Eric Ripert	French_people
Joel Robuchon	French_people
Albert Roux	French_people
Michel Roux	French_people
Michel Roux, Jr.	French_people
Guy Savoy	French_people
Francois Vatel	French_people
Marc Veyrat	French_people
Jean-Georges Vongerichten	French_people
French Equatorial Africa	French_people
Pierre Savorgnan de Brazza	French_people
Antoine de la Mothe Cadillac	French_people
New France	French_people
Francois Caron	French_people
Francois Martin (Pondicherry)	French_people
Pierre Christoph Le Noir	French_people
Pierre Benoit Dumas	French_people
French East India Company	French_people
Joseph Francois Dupleix	French_people
Lally-Tollendal	French_people
Marquis de Bussy-Castelnau	French_people
Senegal	French_people
Madagascar	French_people
French Indochina	French_people
French Congo	French_people
Algeria	French_people
Louisiana	French_people
Jean Talon	French_people
Jacques de Bernonville	French_people
Bonnot Gang	French_people
Emile Louis	French_people
Henri Desire Landru	French_people
Jacques Mesrine	French_people
Zacarias Moussaoui	French_people
Maurice Papon	French_people
Marcel Petiot	French_people
Gilles de Rais	French_people
Jean-Claude Romand	French_people
Albert Spaggiari	French_people
Charles Sobhraj	French_people
Paul Touvier	French_people
Jane Avril	French_people
La Goulue	French_people
Sylvie Guillem	French_people
Marcelle Lender	French_people
Cleo de Merode	French_people
Helle Nice	French_people
Francois Perron	French_people
Roland Petit	French_people
Les Twins	French_people
Antoine Augustin Cournot	French_people
Maurice Allais	French_people
Raymond Barre	French_people
Frederic Bastiat	French_people
Fernand Braudel	French_people
Jules Dupuit	French_people
Gerard Debreu	French_people
Charles Gide	French_people
Dominique Guellec	French_people
Jean-Jacques Laffont	French_people
Pierre Emile Levasseur	French_people
Alain Lipietz	French_people
Bernard Maris	French_people
Thomas Piketty	French_people
Pierre Samuel du Pont de Nemours	French_people
Francois Quesnay	French_people
Pascal Salin	French_people
Jean-Baptiste Say	French_people
Jean Tirole	French_people
Anne-Robert-Jacques Turgot, Baron de Laune	French_people
Leon Walras	French_people
Christian Audigier	French_people
Liliane Bettencourt	French_people
Pierre Cardin	French_people
Laetitia Casta	French_people
Coco Chanel	French_people
Jean-Charles de Castelbajac	French_people
Hubert de Givenchy	French_people
Ines de La Fressange	French_people
Christian Dior	French_people
Morgane Dubled	French_people
Julien Fournie	French_people
Jean Paul Gaultier	French_people
Daniel Hechter	French_people
Christian Lacroix	French_people
Jeanne Lanvin	French_people
Noemie Lenoir	French_people
Christian Louboutin	French_people
